id	state	itemId	itemCount	itemCountByView	weight	broadcast	content
0	0	0	0	0	0	0	空箱子
1	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
2	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
3	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
4	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
5	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
6	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
7	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
8	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
9	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
10	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
11	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
12	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
13	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
14	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
15	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
16	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
17	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
18	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
19	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
20	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
21	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
22	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
23	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
24	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
25	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
26	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
27	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
28	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
29	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
30	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
31	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
32	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
33	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
34	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
35	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
36	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
37	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
38	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
39	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
40	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
41	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
42	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
43	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
44	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
45	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
46	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
47	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
48	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
49	2	0	1	1	25000	0	恭喜{0}开启幸运宝箱获得1倍奖励
